SRR4342129_binning.1	{'Translation table': 11, 'GC std': 0.020012651587559136, '# ambiguous bases': 0, 'Genome size': 1651582, 'Longest contig': 34010, 'N50 (scaffolds)': 7809, 'Mean scaffold length': 6768.7786885245905, '# contigs': 244, '# scaffolds': 244, '# predicted genes': 2125, 'Longest scaffold': 34010, 'GC': 0.620778138778456, 'N50 (contigs)': 7809, 'Coding density': 0.9353553138748182, 'Mean contig length': 6768.7786885245905}
SRR4342129_binning.10	{'Translation table': 11, 'GC std': 0.02016211251631616, '# ambiguous bases': 0, 'Genome size': 2645191, 'Longest contig': 20817, 'N50 (scaffolds)': 5542, 'Mean scaffold length': 5048.074427480916, '# contigs': 524, '# scaffolds': 524, '# predicted genes': 2636, 'Longest scaffold': 20817, 'GC': 0.5490457966929421, 'N50 (contigs)': 5542, 'Coding density': 0.9532343789163051, 'Mean contig length': 5048.074427480916}
SRR4342129_binning.11	{'Translation table': 11, 'GC std': 0.016585312053547224, '# ambiguous bases': 0, 'Genome size': 612729, 'Longest contig': 13119, 'N50 (scaffolds)': 4423, 'Mean scaffold length': 4314.992957746479, '# contigs': 142, '# scaffolds': 142, '# predicted genes': 683, 'Longest scaffold': 13119, 'GC': 0.509882835641858, 'N50 (contigs)': 4423, 'Coding density': 0.9578688131294585, 'Mean contig length': 4314.992957746479}
SRR4342129_binning.12	{'Translation table': 11, 'GC std': 0.009089188248328864, '# ambiguous bases': 0, 'Genome size': 5584570, 'Longest contig': 33913, 'N50 (scaffolds)': 6104, 'Mean scaffold length': 5629.606854838709, '# contigs': 992, '# scaffolds': 992, '# predicted genes': 4869, 'Longest scaffold': 33913, 'GC': 0.5550617146888659, 'N50 (contigs)': 6104, 'Coding density': 0.8876955611622739, 'Mean contig length': 5629.606854838709}
SRR4342129_binning.13	{'Translation table': 11, 'GC std': 0.02369965705932572, '# ambiguous bases': 0, 'Genome size': 893275, 'Longest contig': 11271, 'N50 (scaffolds)': 3810, 'Mean scaffold length': 3850.323275862069, '# contigs': 232, '# scaffolds': 232, '# predicted genes': 923, 'Longest scaffold': 11271, 'GC': 0.5732053399009264, 'N50 (contigs)': 3810, 'Coding density': 0.9417693319526461, 'Mean contig length': 3850.323275862069}
SRR4342129_binning.14	{'Translation table': 11, 'GC std': 0.03239494105864719, '# ambiguous bases': 0, 'Genome size': 1003568, 'Longest contig': 9334, 'N50 (scaffolds)': 3710, 'Mean scaffold length': 3744.6567164179105, '# contigs': 268, '# scaffolds': 268, '# predicted genes': 1138, 'Longest scaffold': 9334, 'GC': 0.46682835642427817, 'N50 (contigs)': 3710, 'Coding density': 0.9088591904086221, 'Mean contig length': 3744.6567164179105}
SRR4342129_binning.15	{'Translation table': 11, 'GC std': 0.024125784685859818, '# ambiguous bases': 0, 'Genome size': 324154, 'Longest contig': 12560, 'N50 (scaffolds)': 3683, 'Mean scaffold length': 3683.568181818182, '# contigs': 88, '# scaffolds': 88, '# predicted genes': 373, 'Longest scaffold': 12560, 'GC': 0.5007928330361495, 'N50 (contigs)': 3683, 'Coding density': 0.9538676061378234, 'Mean contig length': 3683.568181818182}
SRR4342129_binning.16	{'Translation table': 11, 'GC std': 0.011311268923846705, '# ambiguous bases': 0, 'Genome size': 2999880, 'Longest contig': 26763, 'N50 (scaffolds)': 5153, 'Mean scaffold length': 4901.764705882353, '# contigs': 612, '# scaffolds': 612, '# predicted genes': 2747, 'Longest scaffold': 26763, 'GC': 0.48658012987186156, 'N50 (contigs)': 5153, 'Coding density': 0.9178330466551995, 'Mean contig length': 4901.764705882353}
SRR4342129_binning.17	{'Translation table': 11, 'GC std': 0.016822205883383814, '# ambiguous bases': 0, 'Genome size': 2027917, 'Longest contig': 41806, 'N50 (scaffolds)': 7961, 'Mean scaffold length': 6851.070945945946, '# contigs': 296, '# scaffolds': 296, '# predicted genes': 2118, 'Longest scaffold': 41806, 'GC': 0.6146972484574073, 'N50 (contigs)': 7961, 'Coding density': 0.9152840081719321, 'Mean contig length': 6851.070945945946}
SRR4342129_binning.18	{'Translation table': 11, 'GC std': 0.01726138531033212, '# ambiguous bases': 0, 'Genome size': 2913844, 'Longest contig': 52273, 'N50 (scaffolds)': 6404, 'Mean scaffold length': 5886.553535353535, '# contigs': 495, '# scaffolds': 495, '# predicted genes': 3952, 'Longest scaffold': 52273, 'GC': 0.3383022564008231, 'N50 (contigs)': 6404, 'Coding density': 0.9261116930075872, 'Mean contig length': 5886.553535353535}
SRR4342129_binning.19	{'Translation table': 11, 'GC std': 0.013405427901809711, '# ambiguous bases': 0, 'Genome size': 498112, 'Longest contig': 10097, 'N50 (scaffolds)': 3473, 'Mean scaffold length': 3635.8540145985403, '# contigs': 137, '# scaffolds': 137, '# predicted genes': 568, 'Longest scaffold': 10097, 'GC': 0.5870266124887575, 'N50 (contigs)': 3473, 'Coding density': 0.9389334125658486, 'Mean contig length': 3635.8540145985403}
